dataset,question_answering,multiple_choice_qa,yes_no_qa,open_ended_qa,reading_comprehension,summarization,classification,sentiment_analysis,brainstorming,creative_writing,code_generation,math_reasoning,logical_reasoning,commonsense_reasoning,information_extraction,translation,rewriting_paraphrasing,explanation,dialogue_conversation,fact_verification,text_completion,role_playing,planning,data_analysis,number_paragraphs,number_words,number_sentences,paragraph_first_word,number_bullets,title_required,multiple_sections,json_format,xml_format,specific_format,postscript,number_placeholder,highlighted_sections,choose_from,two_responses,response_language,all_uppercase,all_lowercase,capital_word_frequency,end_checker,quotation,keyword_inclusion,keyword_frequency,forbidden_words,letter_frequency,no_commas,repeat_prompt,instruction_following,structural_marker,audience_constraint,topic_scope,multiple_responses,_n_samples,_schema,prediction,ranking,conversion,forbidden_content,chain_of_thought,perspective_constraint,comparison,length_constraint,self_evaluation,argumentation,_explicit_categories,punctuation_or_token_exclusion,casing_constraint,html_format,tone_constraint,arena_hard_v0_1,aeslc_10templates,subject,email
IFEval,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,541,"key, prompt, instruction_id_list, kwargs",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Self-Instruct,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000,"prompt, completion",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alpaca,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000,"instruction, input, output",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WizardLM (Evol-Instruct),True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2000,"idx, conversations",False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
LIMA,True,False,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1030,"conversations, source",False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
DollyV2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000,"instruction, context, response, category",False,True,False,False,False,False,False,False,False,False,"open_qa(502), general_qa(328), classification(280), closed_qa(237), brainstorming(215), information_extraction(191), summarization(158), creative_writing(89)",False,False,False,False,False,False,False,False
P3,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2000,"inputs, inputs_pretokenized, targets, targets_pretokenized",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FollowBench,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1852,"example_id, category, source, instruction, level, target",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arena Hard,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,500,"uid, category, cluster, language, prompt",False,True,True,False,False,False,False,False,False,False,arena-hard-v0.1(500),False,False,False,False,False,False,False,False
FLAN,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3000,"inputs, targets, task",False,True,True,False,False,False,False,False,False,False,aeslc_10templates(3000),False,False,False,False,False,False,True,True
